Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_7a F129 Navarro 100.0 100.0
Option_7b F129 Navarro 100.0 100.0
Option_8a F129 Navarro 100.0 100.0
Option_8b F129 Navarro 100.0 100.0
Option_1a F158 Navarro 100.0 100.0
Option_1b F158 Navarro 100.0 100.0
Option_2a F158 Navarro 100.0 100.0
Option_2b F158 Navarro 100.0 100.0
Option_3a F158 Navarro 100.0 100.0
Option_3b F158 Navarro 100.0 100.0
Option_4a F158 Navarro 100.0 100.0
Option_4b F158 Navarro 100.0 100.0
Option_5a F158 Navarro 100.0 100.0
Option_5b F158 Navarro 100.0 100.0
Option_6a F158 Navarro 100.0 100.0
Option_6b F158 Navarro 100.0 100.0
Option_7a F158 Navarro 100.0 100.0
Option_7b F158 Navarro 100.0 100.0
Option_8a F158 Navarro 100.0 100.0
Option_8b F158 Navarro 100.0 100.0
Option_1a F213 Navarro 100.0 100.0
Option_1b F213 Navarro 100.0 100.0
Option_2a F213 Navarro 100.0 100.0
Option_2b F213 Navarro 100.0 100.0
Option_3a F213 Navarro 100.0 100.0
Option_3b F213 Navarro 100.0 100.0
Option_4a F213 Navarro 100.0 100.0
Option_4b F213 Navarro 100.0 100.0
Option_5a F213 Navarro 100.0 100.0
Option_5b F213 Navarro 100.0 100.0
Option_6a F213 Navarro 100.0 100.0
Option_6b F213 Navarro 100.0 100.0
Option_7a F213 Navarro 100.0 100.0
Option_7b F213 Navarro 100.0 100.0
Option_8a F213 Navarro 100.0 100.0
Option_8b F213 Navarro 100.0 100.0
Option_1a F129 Morihana2 53.937007874015755 54.474708171206224
Option_1b F129 Morihana2 70.47244094488188 70.8171206225681
Option_2a F129 Morihana2 70.47244094488188 70.8171206225681
Option_2b F129 Morihana2 70.47244094488188 70.8171206225681
Option_3a F129 Morihana2 37.79527559055118 38.52140077821012
Option_3b F129 Morihana2 70.47244094488188 70.8171206225681
Option_4a F129 Morihana2 70.47244094488188 70.8171206225681
Option_4b F129 Morihana2 70.47244094488188 70.8171206225681
Option_5a F129 Morihana2 58.661417322834644 59.143968871595334
Option_5b F129 Morihana2 70.47244094488188 70.8171206225681
Option_6a F129 Morihana2 70.47244094488188 70.8171206225681
Option_6b F129 Morihana2 70.47244094488188 70.8171206225681
Option_7a F129 Morihana2 6.299212598425196 6.22568093385214
Option_7b F129 Morihana2 53.937007874015755 54.474708171206224
Option_8a F129 Morihana2 51.96850393700787 52.52918287937744
Option_8b F129 Morihana2 70.47244094488188 70.8171206225681
Option_1a F184 Morihana2 0.0 0.0
Option_1b F184 Morihana2 0.0 0.0
Option_2a F184 Morihana2 0.0 0.0
Option_2b F184 Morihana2 0.0 0.0
Option_3a F184 Morihana2 0.0 0.0
Option_3b F184 Morihana2 19.68503937007874 19.844357976653697
Option_4a F184 Morihana2 0.0 0.0
Option_4b F184 Morihana2 19.68503937007874 19.844357976653697
Option_5a F184 Morihana2 0.0 0.0
Option_5b F184 Morihana2 0.0 0.0
