Survey_strategy Survey_region Science_case Science_region Optic M6_%nvisits M6_%duration
wide_area wide_area Bahramian Bahramian_XRB1 F087 0.0 0.0
deep_spec deep_spec Bahramian Bahramian_XRB1 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Bahramian Bahramian_XRB1 F087 0.12222222222222222 0.37222222222222223
time_domain time_domain_TDS_Galactic_Center_Q1 Bahramian Bahramian_XRB1 F087 0.12222222222222222 0.37222222222222223
time_domain time_domain_TDS_NGC6334_6357 Bahramian Bahramian_XRB1 F087 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_Carina Bahramian Bahramian_XRB1 F087 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_W43 Bahramian Bahramian_XRB1 F087 0.12222222222222222 0.37222222222222223
wide_area wide_area Bahramian Bahramian_XRB2 F087 0.0 0.0
deep_spec deep_spec Bahramian Bahramian_XRB2 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Bahramian Bahramian_XRB2 F087 0.12222222222222222 0.37222222222222223
time_domain time_domain_TDS_Galactic_Center_Q1 Bahramian Bahramian_XRB2 F087 0.12222222222222222 0.37222222222222223
time_domain time_domain_TDS_NGC6334_6357 Bahramian Bahramian_XRB2 F087 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_Carina Bahramian Bahramian_XRB2 F087 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_W43 Bahramian Bahramian_XRB2 F087 0.12222222222222222 0.37222222222222223
wide_area wide_area Bahramian Bahramian_XRB1 F129 0.0 0.0
deep_spec deep_spec Bahramian Bahramian_XRB1 F129 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Bahramian Bahramian_XRB1 F129 11.11111111111111 67.77777777777779
time_domain time_domain_TDS_Galactic_Center_Q1 Bahramian Bahramian_XRB1 F129 11.11111111111111 67.77777777777779
time_domain time_domain_TDS_NGC6334_6357 Bahramian Bahramian_XRB1 F129 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_Carina Bahramian Bahramian_XRB1 F129 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_W43 Bahramian Bahramian_XRB1 F129 0.2777777777777778 0.37222222222222223
time_domain time_domain_TDS_Serpens_W40 Bahramian Bahramian_XRB1 F129 0.2777777777777778 0.37222222222222223
wide_area wide_area Bahramian Bahramian_XRB2 F129 0.0 0.0
deep_spec deep_spec Bahramian Bahramian_XRB2 F129 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Bahramian Bahramian_XRB2 F129 11.11111111111111 67.77777777777779
time_domain time_domain_TDS_Galactic_Center_Q1 Bahramian Bahramian_XRB2 F129 11.11111111111111 67.77777777777779
time_domain time_domain_TDS_NGC6334_6357 Bahramian Bahramian_XRB2 F129 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_Carina Bahramian Bahramian_XRB2 F129 0.12222222222222222 0.4444444444444444
time_domain time_domain_TDS_W43 Bahramian Bahramian_XRB2 F129 0.2777777777777778 0.37222222222222223
