Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F184 DAmmando 5.378020265003897 5.34407027818448
panchromatic F184 DAmmando 0.5455962587685114 0.6588579795021963
time_domain F184 DAmmando 0.3117692907248636 0.29282576866764276
wide_area F129 Baravalle 36.94649446494465 38.2013201320132
panchromatic F129 Baravalle 1.7527675276752765 1.6914191419141915
time_domain F129 Baravalle 1.5682656826568264 1.5264026402640265
wide_area F158 Baravalle 36.94649446494465 38.2013201320132
panchromatic F158 Baravalle 1.7527675276752765 1.6914191419141915
time_domain F158 Baravalle 1.5682656826568264 1.5264026402640265
wide_area F213 Baravalle 36.94649446494465 38.2013201320132
panchromatic F213 Baravalle 1.7527675276752765 1.6914191419141915
time_domain F213 Baravalle 1.5682656826568264 1.5264026402640265
