ID l_center b_center l0 l1 b0 b1 log10_stellar_density
0 63.45847094551568 -0.29806055523048547 62.434708582937645 64.4820326363094 -1.3774772776038247 0.7814513049282249 7.09816568563212
1 60.85570067678495 -0.6508839669797971 59.52182146138827 62.188936439103614 -1.8673756763133091 0.5659602956776258 7.127595058393079
2 58.08051613836641 -0.19810408338751875 56.87592549925096 59.28496086887933 -1.2016943804022564 0.8055737634088735 7.198420927354517
3 55.32665653784239 -0.059982004654985696 54.65491342077327 55.998374573413294 -1.0816614455451703 0.9617056806655605 7.2576513138238585
4 49.216854518454696 -0.09449951743088682 48.12897162013072 50.30469127642108 -0.831190610644845 0.642225641408821 7.357847857871828
5 40.29500990270717 0.06687916670962922 39.76120073688036 40.82883256737757 -0.5537334429785405 0.6874859710921811 7.497694976859264
6 30.07272321140022 0.166222652381501 29.541278173798386 30.60419240837729 -0.2826731810397254 0.6151041844918455 7.621491097097909
7 19.81122136862067 0.35187006794496634 19.272813225351666 20.3496810998558 -0.09507705459844513 0.7987861171585564 7.768672099513166
8 16.46137423213658 0.5939707877211494 15.374711377130128 17.54838753953173 -0.2971609499194242 1.4848888249423944 7.850645014278826
9 16.393649909754103 -3.2643210592624445 15.284474842734028 17.50087412596988 -4.147912393544406 -2.3795112130168987 7.49188319044921
10 13.730084053687714 -4.134888676870399 12.424954100781271 15.029382571637056 -5.907965464485318 -2.359683484665583 7.54280134435261
11 11.0634430678638 -2.9512166311637875 10.064237999703346 12.061065649073313 -3.8315082774914293 -2.0700304495424504 7.8109340636598
12 359.7122900035529 -0.2565020874184945 359.12775676696447 0.2967754209918428 -0.7800015493729588 0.2670240688620124 9.342328757762045
13 349.1102982524819 -2.76944101375173 347.688392850682 350.5310538680832 -3.247706805682061 -2.2894736968568274 6.390971239666387
14 339.93578040642876 -0.15021614652639204 339.22166329322926 340.64985968679684 -0.7291064534002245 0.42869749383269334 6.597303513013347
15 329.78177680878014 -0.1476747675616668 329.3753615693833 330.188172474064 -0.683001048277715 0.3876589429409526 6.629514254851216
16 319.7767952856863 -0.15284799783784342 319.3574156542956 320.19616716954215 -0.3512325618282731 0.04554475489356981 6.588461897071588
17 310.1795585396104 0.04870559493344236 309.63872370834304 310.7204043270575 -0.6339689144571816 0.7313757645386222 6.629514254851216
18 300.3071958873561 0.012104647151108178 299.67446349414763 300.9399317343068 -0.7280405011747532 0.7522483192778171 6.597303513013347
