ID l_center b_center l0 l1 b0 b1 log10_stellar_density
0 60.08789192370698 0.009166511590753738 59.52182146138827 60.653964146222904 -0.5476281672377089 0.5659602956776258 7.1598280255582125
4 49.216854518454696 -0.09449951743088682 48.12897162013072 50.30469127642108 -0.831190610644845 0.642225641408821 7.357847857871828
5 40.29500990270717 0.06687916670962922 39.76120073688036 40.82883256737757 -0.5537334429785405 0.6874859710921811 7.497694976859264
2 28.050816657433884 -0.3016566470630278 27.624388519213877 28.47723108449249 -0.4766073328462903 -0.1266892528610955 7.666885593735789
3 25.37605755001467 2.086364964378666 24.416209200921237 26.33666409830028 1.4651381451102967 2.7070063210966073 7.57839505008703
2 15.026644220976209 -1.1879248598184284 14.278133678361506 15.774509318530411 -2.3795112130168987 0.0038639976904473513 7.844929362266689
3 12.24676541314579 -2.656019419930341 11.811189377332962 12.681928373999089 -3.2418552542580437 -2.0700304495424504 7.876360159975733
12 359.7122900035529 -0.2565020874184945 359.12775676696447 0.2967754209918428 -0.7800015493729588 0.2670240688620124 9.342328757762045
13 349.1102982524819 -2.76944101375173 347.688392850682 350.5310538680832 -3.247706805682061 -2.2894736968568274 6.390971239666387
14 339.93578040642876 -0.15021614652639204 339.22166329322926 340.64985968679684 -0.7291064534002245 0.42869749383269334 6.597303513013347
15 329.78177680878014 -0.1476747675616668 329.3753615693833 330.188172474064 -0.683001048277715 0.3876589429409526 6.629514254851216
16 319.7767952856863 -0.15284799783784342 319.3574156542956 320.19616716954215 -0.3512325618282731 0.04554475489356981 6.588461897071588
17 310.1795585396104 0.04870559493344236 309.63872370834304 310.7204043270575 -0.6339689144571816 0.7313757645386222 6.629514254851216
18 300.3071958873561 0.012104647151108178 299.67446349414763 300.9399317343068 -0.7280405011747532 0.7522483192778171 6.597303513013347
