Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F184 DAmmando 5.300077942322681 5.27086383601757
panchromatic F184 DAmmando 1.1691348402182384 1.3177159590043925
time_domain F184 DAmmando 0.0 0.0
wide_area F129 Baravalle 36.162361623616235 37.5
panchromatic F129 Baravalle 4.935424354243542 4.744224422442244
time_domain F129 Baravalle 1.6143911439114391 1.65016501650165
wide_area F158 Baravalle 36.023985239852394 37.37623762376238
panchromatic F158 Baravalle 4.935424354243542 4.744224422442244
time_domain F158 Baravalle 0.0 0.0
wide_area F213 Baravalle 36.162361623616235 37.5
panchromatic F213 Baravalle 4.935424354243542 4.744224422442244
time_domain F213 Baravalle 1.6143911439114391 1.65016501650165
