Survey_region Science_region Common_area M6_%TD_Region
time_domain_TDS_W43 Morihana1_Subaru2 6.714349161689334 7.547169811320755
time_domain_TDS_Serpens_W40 Morihana1_Subaru2 0.0 0.0
time_domain_TDS_Baades_Windows Bahramian_XRB1 6.714349161689334 0.14847809948032664
time_domain_TDS_Galactic_Center Bahramian_XRB1 7.553642806900501 0.16703786191536749
time_domain_TDS_NGC6334_6357 Bahramian_XRB1 7.553642806900501 0.16703786191536749
time_domain_TDS_Carina Bahramian_XRB1 7.553642806900501 0.16703786191536749
time_domain_TDS_W43 Bahramian_XRB1 6.714349161689334 0.14847809948032664
time_domain_TDS_Serpens_W40 Bahramian_XRB1 18.464460194645667 0.4083147735708982
time_domain_TDS_Baades_Windows Bahramian_XRB2 1.6785872904223336 0.09871668311944717
time_domain_TDS_Galactic_Center Bahramian_XRB2 7.553642806900501 0.4442250740375123
time_domain_TDS_NGC6334_6357 Bahramian_XRB2 7.553642806900501 0.4442250740375123
time_domain_TDS_Carina Bahramian_XRB2 7.553642806900501 0.4442250740375123
time_domain_TDS_W43 Bahramian_XRB2 6.714349161689334 0.3948667324777887
time_domain_TDS_Serpens_W40 Bahramian_XRB2 8.392936452111668 0.4935834155972359
time_domain_TDS_Baades_Windows Rich2_Rich_TDA1 0.0 0.0
time_domain_TDS_Galactic_Center Rich2_Rich_TDA1 3.357174580844667 100.0
time_domain_TDS_NGC6334_6357 Rich2_Rich_TDA1 0.0 0.0
time_domain_TDS_Carina Rich2_Rich_TDA1 0.0 0.0
time_domain_TDS_W43 Rich2_Rich_TDA1 0.0 0.0
time_domain_TDS_Serpens_W40 Rich2_Rich_TDA1 0.0 0.0
time_domain_TDS_Baades_Windows Rich2_Rich_TDA2 0.0 0.0
time_domain_TDS_Galactic_Center Rich2_Rich_TDA2 3.357174580844667 100.0
time_domain_TDS_NGC6334_6357 Rich2_Rich_TDA2 0.0 0.0
time_domain_TDS_Carina Rich2_Rich_TDA2 0.0 0.0
time_domain_TDS_W43 Rich2_Rich_TDA2 0.0 0.0
time_domain_TDS_Serpens_W40 Rich2_Rich_TDA2 0.0 0.0
time_domain_TDS_Baades_Windows Bonito_Carina 0.0 0.0
time_domain_TDS_Galactic_Center Bonito_Carina 0.0 0.0
time_domain_TDS_NGC6334_6357 Bonito_Carina 0.0 0.0
time_domain_TDS_Carina Bonito_Carina 7.553642806900501 14.754098360655737
time_domain_TDS_W43 Bonito_Carina 0.0 0.0
time_domain_TDS_Serpens_W40 Bonito_Carina 0.0 0.0
time_domain_TDS_Baades_Windows "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_Galactic_Center "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_NGC6334_6357 "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_Carina "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_W43 "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_Serpens_W40 "Bonito_NGC 6611" 0.0 0.0
time_domain_TDS_Baades_Windows "Bonito_NGC 6530" 0.0 0.0
