Survey_strategy Survey_region Optic M5_proper_motion_precision
Option_7a Western_Plane F158 0.0
Option_7a Eastern_Plane F213 0.0
Option_7a Wide_Bulge F213 0.0
Option_7a Western_Plane F213 0.0
Option_7b Eastern_Plane F106 0.0
Option_7b Wide_Bulge F106 0.0
Option_7b Western_Plane F106 0.0
Option_7b Eastern_Plane F129 0.0
Option_7b Wide_Bulge F129 0.0
Option_7b Western_Plane F129 0.0
Option_7b Eastern_Plane F158 0.0
Option_7b Wide_Bulge F158 0.0
Option_7b Western_Plane F158 0.0
Option_7b Eastern_Plane F213 0.0
Option_7b Wide_Bulge F213 0.0
Option_7b Western_Plane F213 0.0
Option_8a Eastern_Plane F106 0.0
Option_8a Medium_Bulge F106 0.0
Option_8a Western_Plane F106 0.0
Option_8a Eastern_Plane F129 0.0
Option_8a Medium_Bulge F129 0.0
Option_8a Western_Plane F129 0.0
Option_8a Eastern_Plane F158 0.0
Option_8a Medium_Bulge F158 0.0
Option_8a Western_Plane F158 0.0
Option_8a Eastern_Plane F213 0.0
Option_8a Medium_Bulge F213 0.0
Option_8a Western_Plane F213 0.0
Option_8b Eastern_Plane F106 0.0
Option_8b Medium_Bulge F106 0.0
Option_8b Western_Plane F106 0.0
Option_8b Eastern_Plane F129 0.0
Option_8b Medium_Bulge F129 0.0
Option_8b Western_Plane F129 0.0
Option_8b Eastern_Plane F158 0.0
Option_8b Medium_Bulge F158 0.0
Option_8b Western_Plane F158 0.0
Option_8b Eastern_Plane F213 0.0
Option_8b Medium_Bulge F213 0.0
Option_8b Western_Plane F213 0.0
