Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F129 Morihana1 SP22 100.0 100.0
deep_spec F129 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F129 Morihana1 SP22 5.255878284923928 5.205479452054795
wide_area F158 Morihana1 SP22 100.0 100.0
deep_spec F158 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F158 Morihana1 SP22 5.255878284923928 5.205479452054795
wide_area F213 Morihana1 SP22 100.0 100.0
deep_spec F213 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F213 Morihana1 SP22 5.255878284923928 5.205479452054795
