Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F106 Zucker 0.5961011760915096 0.5961011760915096
panchromatic F106 Zucker 1.288867407765426 1.288867407765426
time_domain F106 Zucker 2.9241179313678107 2.9241179313678107
wide_area F129 Zucker 82.39084904140486 82.39084904140486
panchromatic F129 Zucker 1.288867407765426 1.288867407765426
time_domain F129 Zucker 2.9241179313678107 2.9241179313678107
wide_area F158 Zucker 82.39084904140486 82.39084904140486
panchromatic F158 Zucker 1.288867407765426 1.288867407765426
time_domain F158 Zucker 2.9241179313678107 2.9241179313678107
wide_area F213 Zucker 82.39084904140486 82.39084904140486
panchromatic F213 Zucker 1.288867407765426 1.288867407765426
time_domain F213 Zucker 2.9241179313678107 2.9241179313678107
