Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F062 Sabin SP47 0.0 0.0
deep_spec F062 Sabin SP47 0.5507555677945682 0.5916802511622291
time_domain F062 Sabin SP47 1.012013355822519 1.5425949405300974
wide_area F129 Sabin SP47 44.77642766169839 51.55768882448831
deep_spec F129 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F129 Sabin SP47 1.7727444838387663 2.209744611483427
wide_area F158 Sabin SP47 44.77642766169839 51.55768882448831
deep_spec F158 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F158 Sabin SP47 0.7607311280162472 0.6671496709533298
wide_area F213 Sabin SP47 44.77642766169839 51.55768882448831
deep_spec F213 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F213 Sabin SP47 1.7727444838387663 2.209744611483427
