Survey_strategy Optic Science_case Category M3_%regions M3_count
time_domain F158 Drew wide_area 75.0 3
wide_area F213 Drew wide_area 100.0 4
panchromatic F213 Drew wide_area 100.0 4
time_domain F213 Drew wide_area 75.0 3
wide_area F106 Zucker wide_area 100.0 1
panchromatic F106 Zucker wide_area 100.0 1
time_domain F106 Zucker wide_area 100.0 1
wide_area F129 Zucker wide_area 100.0 1
panchromatic F129 Zucker wide_area 100.0 1
time_domain F129 Zucker wide_area 100.0 1
wide_area F158 Zucker wide_area 100.0 1
panchromatic F158 Zucker wide_area 100.0 1
time_domain F158 Zucker wide_area 100.0 1
wide_area F213 Zucker wide_area 100.0 1
panchromatic F213 Zucker wide_area 100.0 1
time_domain F213 Zucker wide_area 100.0 1
wide_area F129 De_Furio2 wide_area 100.0 3
panchromatic F129 De_Furio2 wide_area 100.0 3
time_domain F129 De_Furio2 wide_area 100.0 3
wide_area F158 De_Furio2 wide_area 100.0 3
panchromatic F158 De_Furio2 wide_area 100.0 3
time_domain F158 De_Furio2 wide_area 100.0 3
wide_area F213 De_Furio2 wide_area 100.0 3
panchromatic F213 De_Furio2 wide_area 100.0 3
time_domain F213 De_Furio2 wide_area 100.0 3
wide_area F087 De wide_area 0.0 0
panchromatic F087 De wide_area 100.0 1
time_domain F087 De wide_area 100.0 1
wide_area F158 De wide_area 100.0 1
panchromatic F158 De wide_area 100.0 1
time_domain F158 De wide_area 100.0 1
wide_area F213 De wide_area 100.0 1
panchromatic F213 De wide_area 100.0 1
time_domain F213 De wide_area 100.0 1
wide_area F146 De wide_area 0.0 0
panchromatic F146 De wide_area 0.0 0
time_domain F146 De wide_area 0.0 0
wide_area F087 Carey wide_area 0.0 0
panchromatic F087 Carey wide_area 100.0 2
time_domain F087 Carey wide_area 100.0 2
wide_area F106 Carey wide_area 0.0 0
panchromatic F106 Carey wide_area 100.0 2
time_domain F106 Carey wide_area 100.0 2
wide_area F129 Carey wide_area 100.0 2
panchromatic F129 Carey wide_area 100.0 2
time_domain F129 Carey wide_area 100.0 2
wide_area F158 Carey wide_area 100.0 2
panchromatic F158 Carey wide_area 100.0 2
time_domain F158 Carey wide_area 100.0 2
wide_area F184 Carey wide_area 100.0 2
panchromatic F184 Carey wide_area 100.0 2
time_domain F184 Carey wide_area 100.0 2
wide_area F213 Carey wide_area 100.0 2
panchromatic F213 Carey wide_area 100.0 2
time_domain F213 Carey wide_area 100.0 2
wide_area F062 Sankrit wide_area 0.0 0
panchromatic F062 Sankrit wide_area 100.0 1
time_domain F062 Sankrit wide_area 100.0 1
wide_area F129 Sankrit wide_area 100.0 1
panchromatic F129 Sankrit wide_area 100.0 1
time_domain F129 Sankrit wide_area 100.0 1
wide_area F184 Sankrit wide_area 100.0 1
panchromatic F184 Sankrit wide_area 100.0 1
time_domain F184 Sankrit wide_area 100.0 1
wide_area F213 Sankrit wide_area 100.0 1
panchromatic F213 Sankrit wide_area 100.0 1
